,age,work_days,job,invest_income,invest_loss,province,education,home_role,marital_status,education_time,nation,work_type,gender
0,25,4,12,0,0,32,10,1,3,9,4,2,0
1,49,35,6,0,0,32,7,5,2,4,4,8,0
2,52,40,8,0,0,32,0,2,3,13,4,7,1
3,35,65,5,0,0,32,12,2,3,15,4,7,1
4,25,40,1,0,0,32,9,4,5,10,2,4,1
5,41,40,11,0,0,32,1,2,3,11,4,8,1
6,17,40,0,0,0,6,15,3,5,7,4,8,1
7,29,40,0,0,0,32,10,4,5,9,4,8,1
8,19,25,8,0,0,32,9,0,5,10,4,8,0
9,44,45,13,0,0,32,10,4,2,9,4,8,1
10,31,50,13,0,0,32,13,2,3,6,4,8,1
11,43,65,9,0,0,32,10,2,3,9,4,8,1
12,22,40,7,0,0,24,2,0,5,3,4,8,0
13,44,40,11,0,0,32,5,2,3,14,4,4,1
14,28,40,9,0,0,32,10,2,3,9,4,8,1
15,59,40,0,0,0,32,10,2,3,9,4,8,1
16,39,55,9,0,0,32,9,2,3,10,4,8,1
17,43,60,8,0,1977,32,0,2,3,13,4,5,1
18,28,40,10,0,0,32,9,4,5,10,4,8,0
19,56,20,13,0,0,32,7,4,1,4,4,8,1
20,30,40,8,0,0,32,0,4,5,13,4,8,0
21,38,45,14,0,0,32,10,3,3,9,4,8,1
22,34,12,2,0,2179,32,10,1,3,9,4,7,0
23,46,44,3,0,0,32,9,2,3,10,4,8,1
24,55,40,5,0,0,32,5,4,5,14,4,8,0
25,23,40,9,0,0,38,4,0,5,5,4,8,0
26,32,48,14,0,0,32,0,4,5,13,4,0,0
27,24,38,8,0,0,32,10,4,2,9,4,8,0
28,23,30,8,0,0,32,10,4,5,9,4,8,0
29,45,45,5,0,0,32,0,2,3,13,4,6,1
30,19,40,10,0,0,32,1,3,5,11,2,8,0
31,49,30,11,14084,0,32,10,5,2,9,4,7,0
32,26,48,5,0,0,32,0,4,5,13,4,8,1
33,31,60,2,0,0,32,1,2,3,11,4,7,1
34,52,25,6,0,0,32,13,0,2,6,4,8,0
35,38,60,8,0,0,32,10,4,4,9,4,8,1
36,23,14,10,0,0,20,9,0,5,10,3,8,1
37,59,35,12,0,0,32,10,4,1,9,4,2,0
38,67,25,10,0,0,32,9,4,1,10,4,8,0
39,41,40,3,0,0,32,10,4,2,9,4,7,1
40,21,20,6,0,0,32,11,3,5,8,2,0,1
41,54,45,3,0,0,34,10,5,2,9,4,8,1
42,56,10,6,0,0,32,10,1,3,9,4,8,0
43,22,20,11,0,0,32,0,0,5,13,4,8,0
44,53,5,12,0,0,32,9,1,3,10,4,2,0
45,29,50,8,0,0,32,9,0,5,10,4,8,1
46,66,30,12,0,0,32,10,2,3,9,4,2,1
47,24,65,3,0,0,15,13,5,5,6,2,0,1
48,56,40,8,0,1977,32,10,2,3,9,4,8,1
49,36,40,3,0,0,32,10,4,2,9,4,8,1
50,61,45,5,0,1902,31,12,2,3,15,4,8,1
51,49,50,11,99999,0,34,5,2,3,14,3,8,1
52,23,35,12,0,0,32,9,3,5,10,4,2,0
53,34,40,1,0,0,32,10,2,3,9,4,8,1
54,42,60,11,14084,0,32,5,4,5,14,4,6,0
55,18,16,10,0,0,32,10,3,5,9,4,8,0
56,36,40,9,0,0,32,10,5,2,9,4,8,1
57,62,40,9,0,1741,32,10,5,2,9,4,8,1
58,32,60,14,0,0,32,9,2,3,10,2,8,1
59,24,40,13,0,0,38,10,5,5,9,4,8,1
60,19,20,12,0,0,32,9,3,5,10,4,2,0
61,26,40,6,0,0,32,9,3,5,10,4,8,1
62,46,40,5,0,1902,32,0,1,3,13,4,0,0
63,31,41,8,0,0,32,0,5,1,13,4,8,0
64,46,40,9,0,0,20,0,5,2,13,0,8,0
65,19,30,8,0,1719,32,10,0,5,9,2,8,0
66,50,45,6,0,0,32,10,5,4,9,4,8,0
67,33,99,6,0,0,32,1,5,2,11,4,7,0
68,37,40,2,0,0,32,10,2,3,9,4,8,1
69,37,40,9,0,0,32,10,2,3,9,4,8,1
70,31,40,5,7688,0,6,0,2,3,13,4,8,1
71,40,40,10,0,0,36,10,4,2,9,4,6,0
72,22,40,7,4508,0,32,10,1,3,9,4,8,0
73,68,60,12,0,0,32,7,2,3,4,4,2,1
74,42,45,5,8614,0,32,0,4,0,13,4,0,0
75,75,30,11,0,0,32,15,2,3,7,4,7,1
76,22,25,13,0,0,32,9,3,5,10,4,8,1
77,39,50,11,7688,0,32,0,2,3,13,4,5,1
78,44,50,11,0,1902,32,0,2,3,13,4,8,1
79,36,38,0,0,0,32,1,2,3,11,4,8,1
80,41,40,3,0,0,32,9,4,2,10,4,7,1
81,42,40,10,0,0,32,10,4,4,9,4,8,1
82,61,50,11,5178,0,32,0,2,3,13,4,0,1
83,41,40,9,0,0,30,9,3,2,10,4,8,1
84,46,40,8,0,0,32,0,2,3,13,4,8,1
85,47,40,10,0,0,32,10,4,2,9,4,0,0
86,23,40,10,0,0,32,10,4,2,9,4,8,0
87,24,20,5,0,0,32,5,4,5,14,4,4,0
88,35,80,11,0,1740,32,0,2,3,13,4,0,1
89,35,40,11,0,0,32,9,4,2,10,4,8,0
90,59,48,12,0,0,32,1,4,2,11,4,2,1
91,56,40,3,0,0,32,10,5,4,9,4,8,1
92,33,40,11,0,0,32,0,4,5,13,4,8,1
93,49,60,5,0,1902,34,8,2,3,16,2,4,1
94,65,40,11,0,0,32,8,2,3,16,4,8,1
95,22,20,11,0,0,32,9,3,5,10,3,0,1
96,28,50,3,0,0,32,10,3,5,9,4,8,1
97,35,44,9,0,0,32,10,2,3,9,4,8,1
98,63,40,3,99999,0,32,10,2,3,9,4,8,1
99,23,25,11,0,0,32,9,5,2,10,4,8,0
100,48,40,9,0,0,32,15,2,3,7,2,8,1
101,23,40,1,0,0,32,9,2,3,10,4,8,1
102,46,40,5,0,0,32,0,2,3,13,4,8,1
103,46,40,12,0,0,32,15,5,1,7,2,2,0
104,42,43,8,0,0,32,9,5,2,10,4,8,0
105,31,40,9,0,0,32,10,4,5,9,4,8,0
106,36,40,6,0,0,32,10,4,0,9,2,8,1
107,58,35,9,0,0,32,10,2,3,9,4,8,1
108,24,11,12,0,0,34,9,4,5,10,4,2,1
109,33,40,10,0,0,32,0,4,5,13,2,8,0
110,48,40,5,0,0,32,10,2,3,9,4,8,1
111,27,50,3,0,0,32,10,4,2,9,4,8,1
112,29,36,0,0,0,32,10,4,5,9,4,8,1
113,26,40,10,0,0,32,6,1,3,12,4,8,0
114,50,45,5,0,0,32,0,2,3,13,4,0,1
115,21,35,6,0,0,32,9,4,5,10,4,8,0
116,23,25,6,0,0,32,9,3,5,10,4,8,1
117,34,40,10,0,0,32,9,2,3,10,4,8,1
118,45,50,1,0,0,32,5,2,3,14,4,8,1
119,63,35,10,0,0,36,0,5,1,13,3,0,0
120,55,40,9,0,0,32,10,4,2,9,4,8,0
121,44,35,5,0,1887,32,5,2,3,14,4,8,1
122,38,40,10,0,0,32,9,5,2,10,4,6,0
123,35,55,3,0,0,32,10,2,3,9,4,8,1
124,34,10,12,0,0,32,10,2,3,9,2,2,1
125,48,16,6,0,0,32,10,4,2,9,4,8,0
126,48,65,8,0,0,32,9,5,2,10,4,7,1
127,77,30,8,0,1668,32,1,4,2,11,4,8,0
128,45,40,3,0,0,32,1,2,3,11,4,8,1
129,20,45,13,0,0,32,10,0,5,9,2,8,1
130,46,15,12,0,0,32,9,3,5,10,4,2,0
131,44,40,10,0,0,40,10,5,2,9,2,8,0
132,52,40,9,0,1628,32,11,2,3,8,4,8,1
133,37,44,8,0,0,32,10,4,5,9,2,8,1
134,58,25,12,0,0,32,0,4,2,13,4,2,1
135,25,45,3,0,0,32,6,4,5,12,4,8,1
136,53,20,11,7688,0,29,0,2,3,13,3,7,1
137,54,40,13,0,0,32,10,2,3,9,4,8,1
138,40,60,2,0,0,32,9,2,3,10,4,7,1
139,47,86,2,0,0,32,9,2,3,10,4,7,1
140,47,40,3,0,0,32,9,4,2,10,4,0,1
141,35,40,9,0,0,32,9,0,5,10,1,8,1
142,54,1,12,0,0,32,5,4,2,14,4,2,1
143,37,40,11,0,0,32,9,4,5,10,4,8,0
144,21,35,1,0,0,32,9,3,5,10,4,8,1
145,28,40,12,0,0,32,10,4,5,9,2,2,0
146,39,40,13,0,0,32,10,2,3,9,4,8,1
147,19,20,6,0,0,32,9,3,5,10,4,4,1
148,20,20,8,0,0,32,9,3,5,10,4,8,0
149,29,40,10,0,0,32,10,2,3,9,4,8,1
150,44,45,5,0,0,32,0,2,3,13,4,6,1
151,47,48,3,0,0,32,10,2,3,9,4,8,1
152,18,40,10,0,0,32,10,3,5,9,4,8,0
153,55,50,11,0,0,34,12,2,3,15,4,5,1
154,23,40,14,0,0,32,10,3,5,9,1,8,1
155,41,40,9,0,0,38,2,4,2,3,4,8,0
156,28,40,6,0,0,32,1,0,5,11,2,8,1
157,33,40,9,0,0,36,10,5,5,9,3,8,1
158,29,40,3,0,0,32,4,2,3,5,4,8,1
159,50,50,8,0,0,32,9,2,3,10,4,8,1
160,24,40,10,0,0,32,10,2,3,9,4,8,1
161,63,32,14,0,0,32,9,2,3,10,4,4,1
162,30,50,3,0,0,32,9,2,3,10,4,8,1
163,30,40,10,0,0,32,5,4,5,14,4,8,0
164,57,16,10,0,0,32,10,1,3,9,4,7,0
165,42,40,5,4650,0,32,5,4,2,14,4,8,1
166,32,40,0,2829,0,32,10,2,3,9,4,8,1
167,26,40,12,0,0,32,0,4,5,13,4,2,1
168,36,60,13,0,0,32,10,4,2,9,4,7,1
169,38,40,13,4508,0,32,0,2,3,13,4,8,1
170,41,50,11,0,0,6,10,2,3,9,4,5,1
171,48,65,11,0,0,32,9,2,3,10,4,8,1
172,26,36,10,0,0,32,6,4,5,12,4,8,0
173,42,40,11,0,0,32,13,2,3,6,4,8,1
174,18,20,6,0,0,32,15,3,5,7,4,8,1
175,60,40,8,0,0,32,13,2,3,6,4,8,1
176,18,25,0,0,0,32,10,5,5,9,4,8,1
177,39,40,10,0,0,32,10,5,2,9,4,8,0
178,36,80,2,0,0,32,10,2,3,9,4,5,1
179,30,70,11,0,0,32,9,2,3,10,4,5,1
180,21,15,10,0,0,32,9,3,5,10,4,4,0
181,44,60,6,0,0,32,15,2,3,7,2,8,1
182,22,40,10,0,0,32,1,4,5,11,4,8,0
183,42,45,9,0,0,32,10,2,3,9,4,8,1
184,54,50,8,0,0,32,5,2,3,14,4,7,1
185,54,40,3,0,0,29,14,2,3,1,3,8,1
186,38,40,8,0,0,32,9,2,3,10,4,8,1
187,49,38,11,0,0,32,15,4,2,7,4,8,0
188,29,50,5,0,0,32,0,3,5,13,4,8,1
189,28,50,11,0,0,32,0,4,4,13,4,8,0
190,31,44,3,0,0,32,10,4,5,9,4,5,1
191,43,60,10,0,0,32,10,5,5,9,4,8,0
192,34,40,1,0,0,32,1,5,2,11,2,8,0
193,63,40,11,0,0,32,10,4,5,9,4,8,1
194,35,60,13,0,0,32,10,2,3,9,4,8,1
195,24,55,13,0,0,22,11,3,5,8,4,8,1
196,32,40,6,0,0,32,10,3,5,9,2,6,1
197,33,40,8,0,0,36,1,3,5,11,3,8,1
198,25,40,3,0,0,32,9,2,3,10,4,8,1
199,43,30,10,0,0,35,3,5,5,2,4,8,0
200,90,40,11,0,0,32,5,3,5,14,4,8,0
201,24,45,3,0,0,32,10,5,5,9,4,8,1
