年龄,工作天数,职业类型,投资收入,投资损失,省份,教育,家庭角色,婚姻状况,教育时间,民族,工作情况,性别,Y
40,50,专业技术,0,0,省份8,研究生,离家,离婚,14,民族D,地方政府,女,0.8488632850974424
19,40,其他职业,0,1721,省份8,高中生,孩子,未婚,9,民族D,个体,女,0.9696584776844853
38,10,销售,0,0,省份8,高中生,未婚,分居,9,民族D,个体,女,0.9597742753290648
45,40,手工艺维修,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,0.9760774605863369
33,40,机械操作,0,0,省份22,高中生,丈夫,已婚平民配偶,9,其他,个体,男,0.807382025924458
51,40,销售,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,0.22837475617174874
61,50,专业技术,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0.4797395582717915
23,40,手工艺维修,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,个体,男,0.6648265636024373
42,38,专业技术,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,中央部委,男,0.3340480205352253
51,40,运输,0,0,省份8,初中一、二年级,丈夫,已婚平民配偶,4,民族D,地方政府,男,0.921167049074095
32,50,执行主管,0,0,省份8,准职业学位,未婚,离婚,11,民族D,个体,女,0.9343000226733804
34,50,手工艺维修,0,0,省份8,大学专科,离家,离婚,12,民族D,个体,男,0.9121023821100841
24,40,手工艺维修,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0.9556948317653409
26,40,手工艺维修,0,0,省份8,大学未毕业,孩子,未婚,10,民族C,个体,男,0.9430690388994546
49,40,销售,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,有限责任公司,男,0.2643391879942425
31,40,管理文书,0,0,省份3,高二,丈夫,已婚平民配偶,7,民族D,个体,男,0.8881329252201783
59,40,执行主管,0,0,省份8,研究生,离家,丧偶,14,民族D,个体,女,0.5773838604620882
29,40,机械操作,0,0,省份8,初三,未婚,离婚,5,民族A,个体,女,0.9953378796639087
37,50,销售,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0.6623579221364704
45,45,专业技术,0,0,省份9,博士,丈夫,已婚平民配偶,16,民族B,个体,男,0.18820669549154145
