年龄,工作天数,职业类型,投资收入,投资损失,省份,教育,家庭角色,婚姻状况,教育时间,民族,工作情况,性别,Y
25,4,未知,0,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,未知,女,0
49,35,其他职业,0,0,省份8,初中一、二年级,未婚,离婚,4,民族D,个体,女,0
52,40,销售,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,非有限责任公司,男,1
35,65,专业技术,0,0,省份8,职高,丈夫,已婚平民配偶,15,民族D,非有限责任公司,男,1
25,40,技术支持,0,0,省份8,大学未毕业,离家,未婚,10,民族A,中央部委,男,0
41,40,执行主管,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,个体,男,0
17,40,劳工保洁,0,0,省份33,高二,孩子,未婚,7,民族D,个体,男,0
29,40,劳工保洁,0,0,省份8,高中生,离家,未婚,9,民族D,个体,男,0
19,25,销售,0,0,省份8,大学未毕业,其他关系,未婚,10,民族D,个体,女,0
44,45,运输,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,0
31,50,运输,0,0,省份8,高一,丈夫,已婚平民配偶,6,民族D,个体,男,0
43,65,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
22,40,家政服务,0,0,省份5,小学5、6年级,其他关系,未婚,3,民族D,个体,女,0
44,40,执行主管,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,中央部委,男,0
28,40,机械操作,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0
59,40,劳工保洁,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,1
39,55,机械操作,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
43,60,销售,0,1977,省份8,大学生,丈夫,已婚平民配偶,13,民族D,有限责任公司,男,1
28,40,管理文书,0,0,省份8,大学未毕业,离家,未婚,10,民族D,个体,女,0
56,20,运输,0,0,省份8,初中一、二年级,离家,丧偶,4,民族D,个体,男,0
30,40,销售,0,0,省份8,大学生,离家,未婚,13,民族D,个体,女,0
38,45,保安,0,0,省份8,高中生,孩子,已婚平民配偶,9,民族D,个体,男,0
34,12,农业捕捞,0,2179,省份8,高中生,妻子,已婚平民配偶,9,民族D,非有限责任公司,女,0
46,44,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0
55,40,专业技术,0,0,省份8,研究生,离家,未婚,14,民族D,个体,女,0
23,40,机械操作,0,0,省份22,初三,其他关系,未婚,5,民族D,个体,女,0
32,48,保安,0,0,省份8,大学生,离家,未婚,13,民族D,地方政府,女,0
24,38,销售,0,0,省份8,高中生,离家,离婚,9,民族D,个体,女,0
23,30,销售,0,0,省份8,高中生,离家,未婚,9,民族D,个体,女,0
45,45,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,省政府,男,1
19,40,管理文书,0,0,省份8,准职业学位,孩子,未婚,11,民族A,个体,女,0
