年龄,工作天数,职业类型,投资收入,投资损失,省份,教育,家庭角色,婚姻状况,教育时间,民族,工作情况,性别,Y
40,50,专业技术,0,0,省份8,研究生,离家,离婚,14,民族D,地方政府,女,0.8506122458793266
19,40,其他职业,0,1721,省份8,高中生,孩子,未婚,9,民族D,个体,女,0.9678791291399905
38,10,销售,0,0,省份8,高中生,未婚,分居,9,民族D,个体,女,0.9571746872388166
45,40,手工艺维修,0,0,省份8,高中生,离家,离婚,9,民族D,个体,男,0.975995997002059
33,40,机械操作,0,0,省份22,高中生,丈夫,已婚平民配偶,9,其他,个体,男,0.7985263804673727
51,40,销售,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,0.23585918909131653
61,50,专业技术,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0.47829386316781963
23,40,手工艺维修,0,0,省份8,准职业学位,丈夫,已婚平民配偶,11,民族D,个体,男,0.6605547989513585
42,38,专业技术,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,中央部委,男,0.3341689552081192
51,40,运输,0,0,省份8,初中一、二年级,丈夫,已婚平民配偶,4,民族D,地方政府,男,0.9183440216957025
32,50,执行主管,0,0,省份8,准职业学位,未婚,离婚,11,民族D,个体,女,0.9340384515867912
34,50,手工艺维修,0,0,省份8,大学专科,离家,离婚,12,民族D,个体,男,0.914366615611536
24,40,手工艺维修,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0.954753116901409
26,40,手工艺维修,0,0,省份8,大学未毕业,孩子,未婚,10,民族C,个体,男,0.9414278068081889
49,40,销售,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,有限责任公司,男,0.27190742430170967
31,40,管理文书,0,0,省份3,高二,丈夫,已婚平民配偶,7,民族D,个体,男,0.8832899490397903
59,40,执行主管,0,0,省份8,研究生,离家,丧偶,14,民族D,个体,女,0.5760702571551622
29,40,机械操作,0,0,省份8,初三,未婚,离婚,5,民族A,个体,女,0.9948456550755691
37,50,销售,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0.662472427191627
45,45,专业技术,0,0,省份9,博士,丈夫,已婚平民配偶,16,民族B,个体,男,0.18712270958745936
58,50,执行主管,0,0,省份8,大学专科,丈夫,已婚平民配偶,12,民族D,个体,男,0.31505569419638646
32,44,管理文书,0,0,省份8,高中生,妻子,已婚平民配偶,9,民族D,个体,女,0.8872613196484469
38,52,手工艺维修,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0.5650696467307355
43,50,执行主管,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,个体,男,0.2550723219015911
19,20,未知,0,0,省份8,高中生,孩子,已婚平民配偶,9,民族D,未知,女,0.978552019722451
24,36,其他职业,0,0,省份8,高中生,孩子,未婚,9,民族A,地方政府,男,0.9708161133085875
39,40,机械操作,0,0,省份8,初三,丈夫,已婚平民配偶,5,民族D,省政府,男,0.9323825380500986
42,50,专业技术,99999,0,省份8,职高,丈夫,已婚平民配偶,15,民族D,非有限责任公司,男,0.0027035208795379573
32,40,手工艺维修,0,0,省份8,大学未毕业,未婚,未婚,10,民族D,个体,男,0.9580468272635932
54,50,执行主管,0,1977,省份8,博士,丈夫,已婚平民配偶,16,民族D,个体,男,0.10253029969233718
41,40,执行主管,0,0,省份8,研究生,丈夫,已婚平民配偶,14,民族D,省政府,男,0.37460474077815364
35,40,手工艺维修,0,0,省份8,高中生,未婚,离婚,9,民族A,个体,男,0.970860454034201
37,45,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0.3580102112587702
33,40,销售,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0.3950712981233313
46,55,销售,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0.2963521507126269
45,40,专业技术,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0.392269485849989
22,36,未知,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,未知,男,0.9692470623788402
54,40,执行主管,0,0,省份35,大学未毕业,离家,离婚,10,民族D,个体,女,0.9579326325448307
56,40,销售,0,0,省份8,高中生,孩子,未婚,9,民族D,个体,男,0.9048796488797886
48,40,管理文书,0,0,省份8,高中生,离家,未婚,9,民族D,个体,女,0.9697023835161275
20,25,管理文书,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,女,0.9708144769033451
30,40,管理文书,0,0,省份8,大学未毕业,孩子,未婚,10,民族A,省政府,女,0.9592761112837465
27,40,保安,0,0,省份8,大学未毕业,离家,未婚,10,民族D,中央部委,男,0.973107677277388
44,35,销售,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0.7526911366311635
43,50,执行主管,0,0,省份8,大学生,丈夫,已婚平民配偶,13,民族D,个体,男,0.32661573280074885
52,30,运输,0,0,省份8,大学未毕业,丈夫,已婚平民配偶,10,民族D,个体,男,0.6245565844360246
53,72,手工艺维修,3103,0,省份8,高中生,丈夫,已婚平民配偶,9,民族A,非有限责任公司,男,0.5391085791401757
20,40,运输,0,1602,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0.957197201194134
19,45,劳工保洁,0,1602,省份8,高一,其他关系,未婚,6,民族D,个体,男,0.9704833374546358
45,60,销售,0,0,省份8,高中生,丈夫,已婚平民配偶,9,民族D,个体,男,0.594325231386502
22,40,劳工保洁,0,0,省份8,大学未毕业,离家,未婚,10,民族D,个体,男,0.981204475064027
39,30,专业技术,0,0,省份3,高二,未婚,未婚,7,民族D,个体,女,0.9816331192828477
58,40,管理文书,0,0,省份8,高中生,未婚,丧偶,9,民族C,个体,男,0.8507685807046959
28,40,劳工保洁,0,0,省份8,高中生,孩子,未婚,9,民族A,个体,男,0.9635864970759616
31,30,其他职业,0,0,省份8,高中生,离家,未婚,9,民族D,个体,女,0.9844994391795078
59,55,手工艺维修,0,1977,省份8,博士,丈夫,已婚平民配偶,16,民族D,有限责任公司,男,0.10660129676182584
30,20,销售,0,0,省份14,大学生,孩子,未婚,13,民族D,个体,女,0.9049156049081255
37,42,保安,0,0,省份8,大学专科,离家,未婚,12,民族A,省政府,男,0.9473110973086147
26,40,未知,0,0,省份8,高中生,孩子,未婚,9,民族D,未知,女,0.9623014038936726
21,40,管理文书,0,0,省份8,大学未毕业,孩子,未婚,10,民族D,个体,男,0.9571628366206661
