,content
0,喜欢那个打黑拳！！
1,还可以吧。
2,其实已经一口气狂看到了第七卷。前半的节奏还是意气风发无往不利，越到后面那种命运悲剧的感受越强，让人有些不忍看下去了。目前停在了萍萍遇见高达那儿，不知还会不会往后翻。另外，写的有那么一点啰嗦，加上意淫之爽的部分，跟大唐双龙传有点神似哈哈哈
3,2020年头的几天假期啥事没干，就看这几百万字了。真的要戒掉看书一定要看完的坏毛病。及时止损。
4,适合消遣看看，破梗废话太多……
5,N年前就看了几章看不下去，因为电视剧 重新拾起看了一遍，觉得还是看电视剧吧…范闲nb的一塌糊涂
6,电视剧更好看一点
7,就觉得被自己已去世的妈抢占先机因而吃瘪倒有些娱乐。
8,网文只和时间有关
9,"我居然看完了 因为杰克苏在弃书的边缘徘徊（不过毕竟考试周真的什么都看的下去
很明显的缺点是意淫的痕迹太重 文艺起来有点油腻，但是大东山和陈萍萍之死的情节设计挺有意思"
10,"全书读完。好久没看小说了，才回忆起来看小说是一件不错的事
读完略有怅然若失的感觉"
11,2020年1月5日，看完电视剧第一季不过瘾，找来小说看。
12,"铺垫和背景的一卷，整卷略无趣。
在七卷中字数是最少的一本。"
14,情节强行设置阴谋，流行只是因为内容上迎合了一些大众心理吧。
15,伪权谋，实际上还是爽文，不如叫做那些年一起帮过范闲的男孩。
16,架构很酣畅，奈何主角光环太耀眼
17,有点low
18,
小时候看杂书太多导致现在看啥都有以前看过的影子怎么破？整个一个毫无水平的胡编滥造！当网文作家门槛就是低 随便融融早年一些不知名小说的梗也没几个人看过，现在的年轻人更看不出来！居然还被吹捧炒作到一定高度？没劲儿"
19,"最近看了电视，改编太多，回忆当年看书的跌宕起伏的心情，甚觉太不过瘾，于是重新又看了一遍书。
当年第一次看还是看的盗版实体书，猫腻还在连载中。学生上课偷看被没收了，我闲来无事翻翻，嗯，真香！"
20,男性爽文，文笔也一般。
21,剧情很直男，爽文
22,那么多的故事 那么多的传奇 其实满满都是叶轻眉.. 她的子嗣 她的朋友 她的爱慕者 她的手下 她的敌人 她那无尽的创造... 随手一笔 便是华彩篇章 小仙女着实令人感慨. 至于他人 而今而后的种种 与之相比 又复何如.
23,忽略掉百分之五十的注水章节，令人生理不适的意淫“言情”剧情，亮瞎眼的主角光光光光光环，厚颜无耻到极点的男主，字里行间透露出的作者的恶臭的三观，还是有点趣味的。两星一给史前文明的独特设定，二给陈萍萍。作者借男主口无数次自嘲无耻，并不能便洗脱他无耻的事实；也许男人的内心的确都作者所说的那样如范闲般无耻，但冠冕堂皇得意洋洋地写出来，便流于下作了。
24,庆余年是我读过都第一本网络连载小说
25,比较完备的网络爽文
26,唯一看过的男穿小说！是被安利去看的！就是铺陈开来挺慢的，但是越到后面越好看，从牛阑街刺杀开始，剧情渐入佳境哦！推荐！
27,看完了全部的《庆余年》，感觉确实写得挺好的。文中的许多人形象都很丰满。长确实是太长了，而且主角就像是一路在开bug，稍显得传奇了一点。总的来说还是很享受的阅读过程~
28,看完了剧版和小说第一部，也看了知乎里全书概述，只能说小说第一部于全是而言只是个人成长和背景介绍。待看完全书再评。
29,超强主角光环的转世重生YY文，无聊。
30,意淫作品，没有任何文学价值！
31,文字细腻，反转
32,比较一般，感觉电视剧比书好看一些
34,小范闲从乡下到城里，从孤身一人到妻妹兄弟
35,跟风在看，不论好坏
36,花了一个月才看完，感觉细节描写很吸引人，但是大的情节上不是很喜欢。
37,第一次看男频小说，果然是男主开挂，一堆厉害人物围着转那种，也就是整个故事的脑洞挺厉害的
38,超能编故事，但我不喜欢它的内核，所以竟然在看到第五部断舍离了
39,"一口气看完全套的爽文
其实精简一下没必要这么多篇幅"
40,"比起烂大街的网络小说，要有趣一些。
可悲的不是看《庆余年》类型的书，而是只看《庆余年》这一类书。"
41,网文都比古龙写得好
42,看个热闹，电视剧热播了，回来记录一下。
43,没有电视剧那么好，也不错啦
44,庆余年在网络小说中确实是难得一见的精品，故事精彩，节奏流畅，主角配角形象丰满立体。另一方面，由于身世+穿越带来的多重外挂，有着明显的快餐特性。主角的名字真是犯嫌啊，作者不爱，我也不爱，整个故事像是或者的庆帝与死去的叶轻眉故事的延伸，主角从头至尾也没走出他们的影响。
45,大宗师挂太厉害，斗智看着还行，后期揭露的设定蛋疼
46,爽文的特点，前面还能HOLD住，后面大宗师设定太匪夷所思了。
47,为数不多电视剧远胜原著的。
48,为了安利我小说的这个人，打了三星。在这样一个特殊的日子里看完了这本书，还是很感慨的。电视剧应该会还很多剧情吧。。
49,电视还不错，来追下小说！ 挺有趣的，偶尔看下放松和愉快
50,很差，很垃圾
51,"书跟作者人一样
就是一个肥宅白日做梦，不道德，不爱国，装满外挂结果到此一游
毒害不少青少年"
53,书还是比电视剧精彩
54,庆帝活的太难了
55,挺垃圾的
56,从电视剧来的，看的书不多，这本应该是看的最多的，也看了很多评论，那些说不喜欢的我能理解，但是也不能用现在的眼光去审视十年前的作品吧。
57,这样的权谋在真实世界能否活下来呢
58,因为等不及电视的更新，于是几天时间看完。盛名之下，其实难负。太过啰嗦都还是次要的，不明白到底想表达一个什么主题，一个个所谓的大局套小局，都不过是圆不过来，然后只能往“早就知道了”的阴谋上套。一环二环三环，等人挂了再弄出来一个四环五环，最后强行收尾。就一普通的穿越文，看过就不会再看作者的任何书了。
59,和电视剧一起看的，也太长了吧，我感觉看了很久才到一半。主角光环太强大，啥都会，最强的人都是他这一队的，他不开挂就逆天了。
