vote,user,user_url,star,level,release_time,content
0,乐小妖,https://www.douban.com/people/184351511/,50,力荐,2020-01-06,喜欢那个打黑拳！！
0,非著名相声演员,https://www.douban.com/people/163544561/,30,还行,2020-01-06,还可以吧。
0,alexia,https://www.douban.com/people/alexia/,40,推荐,2020-01-06,其实已经一口气狂看到了第七卷。前半的节奏还是意气风发无往不利，越到后面那种命运悲剧的感受越强，让人有些不忍看下去了。目前停在了萍萍遇见高达那儿，不知还会不会往后翻。另外，写的有那么一点啰嗦，加上意淫之爽的部分，跟大唐双龙传有点神似哈哈哈
0,姚暴富,https://www.douban.com/people/l92599/,20,较差,2020-01-06,2020年头的几天假期啥事没干，就看这几百万字了。真的要戒掉看书一定要看完的坏毛病。及时止损。
0,刺猬,https://www.douban.com/people/wwwwww0211/,30,还行,2020-01-06,适合消遣看看，破梗废话太多……
0,dabu,https://www.douban.com/people/4586170/,30,还行,2020-01-06,N年前就看了几章看不下去，因为电视剧 重新拾起看了一遍，觉得还是看电视剧吧…范闲nb的一塌糊涂
0,鲸鱼,https://www.douban.com/people/162626916/,40,推荐,2020-01-05,电视剧更好看一点
0,小米加步枪,https://www.douban.com/people/xmandbq/,30,还行,2020-01-05,就觉得被自己已去世的妈抢占先机因而吃瘪倒有些娱乐。
0,宁微君,https://www.douban.com/people/kenshin/,40,推荐,2020-01-05,网文只和时间有关
0,Melpomene,https://www.douban.com/people/163823197/,40,推荐,2020-01-05,"我居然看完了 因为杰克苏在弃书的边缘徘徊（不过毕竟考试周真的什么都看的下去
很明显的缺点是意淫的痕迹太重 文艺起来有点油腻，但是大东山和陈萍萍之死的情节设计挺有意思"
0,叶隶,https://www.douban.com/people/115738511/,40,推荐,2020-01-05,"全书读完。好久没看小说了，才回忆起来看小说是一件不错的事
读完略有怅然若失的感觉"
0,小涌,https://www.douban.com/people/44452285/,40,推荐,2020-01-05,2020年1月5日，看完电视剧第一季不过瘾，找来小说看。
0,Chocolate,https://www.douban.com/people/192633735/,20,较差,2020-01-04,"铺垫和背景的一卷，整卷略无趣。
在七卷中字数是最少的一本。"
0,不知道啊,https://www.douban.com/people/140516688/,,,,全书看了快一半，实在是没耐心了，男频爽文看过几本之后觉得太没意思了。
0,蟹仔™,https://www.douban.com/people/crabol/,20,较差,2020-01-04,情节强行设置阴谋，流行只是因为内容上迎合了一些大众心理吧。
0,树上的男爵,https://www.douban.com/people/177042915/,40,推荐,2020-01-04,伪权谋，实际上还是爽文，不如叫做那些年一起帮过范闲的男孩。
0,乐乐老布丁,https://www.douban.com/people/157300484/,30,还行,2020-01-04,架构很酣畅，奈何主角光环太耀眼
0,ole luk-oie,https://www.douban.com/people/oleluk-oie/,20,较差,2020-01-04,有点low
0,mushroomcloud,https://www.douban.com/people/182021683/,20,较差,2020-01-04,"成人灵魂与婴儿身体交换之后以前一切的不利因素都变成了莫名的有利条件！故弄玄虚是真🐮
小时候看杂书太多导致现在看啥都有以前看过的影子怎么破？整个一个毫无水平的胡编滥造！当网文作家门槛就是低 随便融融早年一些不知名小说的梗也没几个人看过，现在的年轻人更看不出来！居然还被吹捧炒作到一定高度？没劲儿"
0,力小力,https://www.douban.com/people/178832132/,50,力荐,2020-01-04,"最近看了电视，改编太多，回忆当年看书的跌宕起伏的心情，甚觉太不过瘾，于是重新又看了一遍书。
当年第一次看还是看的盗版实体书，猫腻还在连载中。学生上课偷看被没收了，我闲来无事翻翻，嗯，真香！"
0,Vivian陌水瑶,https://www.douban.com/people/116541762/,30,还行,2020-01-04,男性爽文，文笔也一般。
0,不青山,https://www.douban.com/people/facaiy/,30,还行,2020-01-04,剧情很直男，爽文
0,𝙰𝚣𝚎𝚛𝚒𝚕,https://www.douban.com/people/Azeril/,40,推荐,2020-01-04,那么多的故事 那么多的传奇 其实满满都是叶轻眉.. 她的子嗣 她的朋友 她的爱慕者 她的手下 她的敌人 她那无尽的创造... 随手一笔 便是华彩篇章 小仙女着实令人感慨. 至于他人 而今而后的种种 与之相比 又复何如.
0,会咬人的兔子,https://www.douban.com/people/138322914/,20,较差,2020-01-04,忽略掉百分之五十的注水章节，令人生理不适的意淫“言情”剧情，亮瞎眼的主角光光光光光环，厚颜无耻到极点的男主，字里行间透露出的作者的恶臭的三观，还是有点趣味的。两星一给史前文明的独特设定，二给陈萍萍。作者借男主口无数次自嘲无耻，并不能便洗脱他无耻的事实；也许男人的内心的确都作者所说的那样如范闲般无耻，但冠冕堂皇得意洋洋地写出来，便流于下作了。
0,Watson,https://www.douban.com/people/187674902/,50,力荐,2020-01-03,庆余年是我读过都第一本网络连载小说
0,OHLIV,https://www.douban.com/people/30236445/,50,力荐,2020-01-03,比较完备的网络爽文
0,兔子的牙齿,https://www.douban.com/people/115946495/,40,推荐,2020-01-03,唯一看过的男穿小说！是被安利去看的！就是铺陈开来挺慢的，但是越到后面越好看，从牛阑街刺杀开始，剧情渐入佳境哦！推荐！
